INSPECTION_TYPE,JOB_TICKET_OR_WORK_ORDER_ID,JOB_ID,JOB_PROGRESS,BBL,BORO_CODE,BLOCK,LOT,HOUSE_NUMBER,STREET_NAME,ZIP_CODE,X_COORD,Y_COORD,LATITUDE,LONGITUDE,BOROUGH,INSPECTION_DATE,RESULT,APPROVED_DATE,LOCATION
BAIT,1,PO12965,3,1011470035,1,1147,35,104,WEST 76 STREET,10023,990505,223527,40.78020398,-73.97741447,Manhattan,10/14/2009 12:00,Bait applied,10/14/2009 15:01,"(40.7802039792471, -73.9774144709456)"
BAIT,2,PO12966,3,1011470034,1,1147,34,102,WEST 76 STREET,10023,990516,223521,40.7801875,-73.97737476,Manhattan,10/14/2009 12:51,Bait applied,10/14/2009 15:02,"(40.7801875030438, -73.977374757787)"
BAIT,30,PO16966,3,2043370027,2,4337,27,620,THWAITES PLACE,10467,1020110,252216,40.85887658,-73.87036364,Bronx,11/9/2009 12:59,Bait applied,11/10/2009 14:54,"(40.8588765781972, -73.8703636422023)"
BAIT,31,PO13665,3,2037670077,2,3767,77,1227,WHITEPLAINS ROAD,10472,1022441,242180,40.83132096,-73.86199409,Bronx,11/9/2009 11:10,Bait applied,11/10/2009 14:56,"(40.8313209626148, -73.861994089899)"
BAIT,38,PO11291,3,1011690057,1,1169,57,2199,BROADWAY,10024,989641,224567,40.78305907,-73.98053336,Manhattan,11/10/2009 8:40,Bait applied,11/17/2009 11:39,"(40.7830590725833, -73.9805333640688)"
BAIT,39,PO12483,3,1015340012,1,1534,12,232,EAST 89 STREET,10128,997617,223597,40.78038822,-73.95173435,Manhattan,11/10/2009 9:53,Bait applied,11/17/2009 11:39,"(40.780388216313, -73.9517343542567)"
BAIT,41,PO25356,3,1015860005,1,1586,5,515,EAST 89 STREET,10128,999449,222589,40.77761856,-73.94512164,Manhattan,11/10/2009 9:00,Bait applied,11/17/2009 11:35,"(40.7776185626037, -73.9451216392382)"
BAIT,46,PO16381,3,2028140048,2,2814,48,1952,ANTHONY AVENUE,10457,1011143,249042,40.85019677,-73.90279266,Bronx,11/16/2009 12:59,Bait applied,11/16/2009 16:20,"(40.8501967689145, -73.9027926637706)"
BAIT,48,PO11801,3,2026930022,2,2693,22,1230,PROSPECT AVENUE,10459,1012333,240622,40.82708263,-73.89852655,Bronx,11/16/2009 12:06,Bait applied,11/16/2009 16:19,"(40.8270826259387, -73.8985265540885)"
BAIT,50,PO11803,3,2026930008,2,2693,8,1198,PROSPECT AVENUE,10459,1012297,240506,40.82676435,-73.89865712,Bronx,11/16/2009 11:50,Bait applied,11/16/2009 16:20,"(40.8267643536103, -73.8986571191557)"
BAIT,51,PO11817,3,1003770026,1,377,26,390,EAST 8 STREET,10009,990654,203066,40.72404361,-73.97689595,Manhattan,11/16/2009 21:55,Bait applied,11/19/2009 12:09,"(40.7240436116555, -73.976895948583)"
BAIT,52,PO11077,3,1003890019,1,389,19,202,EAST 7 STREET,10009,989741,203281,40.72463435,-73.98018965,Manhattan,11/16/2009 22:20,Bait applied,11/23/2009 12:11,"(40.7246343483455, -73.980189651703)"
BAIT,53,PO15241,3,1004590040,1,459,40,19,EAST 3 STREET,10003,986804,203770,40.72597787,-73.99078553,Manhattan,11/16/2009 21:25,Bait applied,11/19/2009 12:04,"(40.7259778701156, -73.9907855310067)"
BAIT,57,PO10580,3,1002100005,1,210,5,336,CANAL STREET,10013,983586,201500,40.71974761,-74.00239539,Manhattan,11/17/2009 12:00,Bait applied,11/23/2009 12:16,"(40.7197476131092, -74.0023953936767)"
BAIT,58,PO13111,3,1003920010,1,392,10,350,EAST 10 STREET,10009,989987,203999,40.72660493,-73.97930152,Manhattan,11/17/2009 9:55,Bait applied,11/23/2009 12:07,"(40.726604927718, -73.9793015244998)"
BAIT,59,PO10759,3,1004290001,1,429,1,12,1 AVENUE,10009,987488,202831,40.72340032,-73.98831821,Manhattan,11/17/2009 10:30,Bait applied,11/23/2009 14:11,"(40.7234003190272, -73.9883182080389)"
BAIT,60,PO11965,3,1004420011,1,442,11,31,EAST 1 STREET,10003,986933,203069,40.72405376,-73.9903204,Manhattan,11/17/2009 11:02,Bait applied,11/19/2009 8:10,"(40.7240537571041, -73.9903203968151)"
BAIT,61,PO11019,3,1004470009,1,447,9,306,EAST 6 STREET,10003,987552,204216,40.72720178,-73.98808663,Manhattan,11/17/2009 9:20,Bait applied,11/19/2009 8:21,"(40.7272017839871, -73.9880866345106)"
BAIT,63,PO10782,3,1019180023,1,1918,23,119,WEST 133 STREET,10030,1000136,235540,40.81316433,-73.94261048,Manhattan,11/18/2009 9:15,Bait applied,11/19/2009 12:13,"(40.8131643309274, -73.9426104832865)"
BAIT,66,PO10165,3,1020690042,1,2069,42,880,ST NICHOLAS AVENUE,10032,1000384,241691,40.83004663,-73.94169977,Manhattan,11/18/2009 9:55,Bait applied,11/19/2009 12:16,"(40.8300466340453, -73.941699773442)"
BAIT,73,PO13732,3,1021110099,1,2111,99,446,WEST 167 STREET,10032,1001797,244793,40.83855803,-73.93658578,Manhattan,11/20/2009 13:13,Bait applied,11/23/2009 11:03,"(40.8385580327087, -73.936585783534)"
BAIT,77,PO13369,3,1021310035,1,2131,35,534,WEST 175 STREET,10033,1002298,247020,40.84466949,-73.9347692,Manhattan,11/20/2009 9:15,Bait applied,11/23/2009 11:12,"(40.844669486257, -73.9347691952077)"
BAIT,84,PO12817,3,1004510053,1,451,53,317,EAST 9 STREET,10003,987961,204844,40.72892533,-73.98661065,Manhattan,11/20/2009 9:23,Bait applied,11/23/2009 12:04,"(40.7289253286763, -73.9866106472347)"
BAIT,85,PO14758,3,1004540031,1,454,31,342,EAST 13 STREET,10003,988579,205673,40.73120045,-73.98438036,Manhattan,11/20/2009 9:50,Bait applied,11/23/2009 11:28,"(40.7312004499725, -73.9843803591535)"
BAIT,88,PO11791,3,1014680033,1,1468,33,486,EAST 74 STREET,10021,997179,219224,40.76838613,-73.9533243,Manhattan,11/20/2009 22:35,Bait applied,11/23/2009 11:33,"(40.768386131078, -73.9533243006866)"
BAIT,90,PO11841,3,1015570034,1,1557,34,332,EAST 95 STREET,10128,999013,224617,40.78318562,-73.94669143,Manhattan,11/20/2009 11:25,Bait applied,11/23/2009 11:34,"(40.7831856237632, -73.946691428707)"
BAIT,91,PO11717,3,1016140013,1,1614,13,21,EAST 108 STREET,10029,998291,229005,40.79523068,-73.94928937,Manhattan,11/20/2009 12:10,Bait applied,11/23/2009 11:51,"(40.7952306804656, -73.9492893669947)"
BAIT,101,PO14335,3,1011290002,1,1129,2,57,WEST 76 STREET,10023,991001,223260,40.77947077,-73.97562378,Manhattan,11/23/2009 10:55,Bait applied,11/24/2009 15:54,"(40.7794707699529, -73.9756237844939)"
BAIT,103,PO10576,3,1011540101,1,1154,101,249,WEST 62 STREET,10023,987539,221028,40.77334648,-73.98812531,Manhattan,11/23/2009 9:55,Bait applied,11/24/2009 15:57,"(40.77334648331, -73.9881253149363)"
BAIT,105,PO12629,3,1011650005,1,1165,5,269,WEST 73 STREET,10023,988921,223504,40.78014183,-73.98313399,Manhattan,11/23/2009 10:30,Bait applied,11/24/2009 16:00,"(40.7801418293715, -73.9831339876533)"
BAIT,109,PO17803,3,2024280024,2,2428,24,1065,CLAY AVENUE,10456,1008442,241387,40.82884527,-73.91258737,Bronx,11/24/2009 11:21,Bait applied,11/24/2009 15:23,"(40.8288452700069, -73.9125873654197)"
BAIT,124,PO22125,3,2048240042,2,4824,42,627,EAST 222 STREET,10467,1021891,262252,40.88641487,-73.86386883,Bronx,11/24/2009 12:13,Bait applied,11/24/2009 15:10,"(40.8864148707381, -73.8638688327901)"
BAIT,133,PO11607,3,1021230054,1,2123,54,516,WEST 167 STREET,10032,1001386,245168,40.83958811,-73.93807016,Manhattan,11/24/2009 13:50,Bait applied,11/24/2009 16:09,"(40.8395881055178, -73.9380701638764)"
BAIT,140,PO11874,3,1019380043,1,1938,43,208,WEST 133 STREET,10030,999389,235945,40.81427725,-73.94530817,Manhattan,11/24/2009 11:05,Bait applied,11/25/2009 9:04,"(40.8142772543519, -73.945308169666)"
BAIT,145,PO14335,4,1011290002,1,1129,2,57,WEST 76 STREET,10023,991001,223260,40.77947077,-73.97562378,Manhattan,11/25/2009 11:20,Bait applied,11/27/2009 12:08,"(40.7794707699529, -73.9756237844939)"
BAIT,146,PO10576,4,1011540101,1,1154,101,249,WEST 62 STREET,10023,987539,221028,40.77334648,-73.98812531,Manhattan,11/25/2009 10:05,Bait applied,11/27/2009 12:11,"(40.77334648331, -73.9881253149363)"
